"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MISO1,GND1,MOSI1,TP1,SCX1,3.3V1,CSB1";"TestPoint_Pad_D1.5mm";7;"TestPoint";;;
2;"C3,C5";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"10uF";;;
3;"J1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Conn_01x02";;;
4;"R2";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"2k";;;
5;"R1";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"100";;;
6;"C9,C7,C13,C8";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"100n";;;
7;"J4";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";1;"Conn_01x06";;;
8;"S1";"SW_EVQ-P7A01P";1;"EVQ-P7A01P";;;
9;"R4";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"78";;;
10;"C15,C2";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"0.1uF";;;
11;"FB1";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"120R";;;
12;"R3";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"470";;;
13;"R5";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"112";;;
14;"U1";"VREG_V62_16624-01YE";1;"TPS63001";;;
15;"L1";"L_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"4.7uH";;;
16;"J3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
17;"U2";"SOT95P280X145-5N";1;"MCP73831T-2ACI_OT";;;
18;"U4";"ST-SiP-LGA-86-11x7.3mm";1;"STM32WB5MMG";;;
19;"D2";"19-237&slash_R6GHBHC-C01&slash_2T";1;"EAST1616RGBA3";;;
20;"C12,C11";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"1u";;;
21;"J5";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
22;"R6";"R_0201_0603Metric";1;"112";;;
23;"C14,C1,C4";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"4.7uF";;;
24;"C6";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"10u";;;
25;"D1";"LED_0603_1608Metric";1;"LED";;;
26;"C10";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"10n";;;
27;"U3";"XDCR_BMI270";1;"BMI323";;;
